,name,team,year,mpg,fg%,3pfg%,rebounds,assists,steals,blocks,turnovers,points_per_game,player_efficiency,position
481,John Paxson,Chicago Bulls,1991,24.0,.548,.438,1.1,3.6,0.8,0.0,0.8,8.7,14.0,PG
482,B.J. Armstrong,Chicago Bulls,1991,21.1,.481,.500,1.8,3.7,0.9,0.0,1.3,8.8,14.8,PG
483,Stacey King,Chicago Bulls,1991,15.8,.467,.000,2.7,0.9,0.3,0.6,1.2,5.5,10.2,PF
484,Will Perdue,Chicago Bulls,1991,13.1,.494,.000,4.5,0.6,0.3,0.8,1.0,4.1,13.7,C
485,Cliff Levingston,Chicago Bulls,1991,13.0,.450,.250,2.9,0.7,0.4,0.6,0.6,4.0,11.5,PF
486,Dennis Hopson,Chicago Bulls,1991,11.9,.426,.200,1.8,1.1,0.4,0.2,1.0,4.3,10.0,SF
487,Craig Hodges,Chicago Bulls,1991,11.5,.424,.383,0.6,1.3,0.5,0.0,0.5,5.0,12.4,SG
488,Scott Williams,Chicago Bulls,1991,6.6,.510,.500,1.9,0.3,0.2,0.3,0.5,2.5,14.7,PF
489,Isiah Thomas,Detroit Pistons,1990,37.0,.438,.309,3.8,9.4,1.7,0.2,4.0,18.4,17.3,PG
490,Joe Dumars,Detroit Pistons,1990,34.4,.480,.400,2.8,4.9,0.8,0.0,1.9,17.8,17.2,SG
491,Bill Laimbeer,Detroit Pistons,1990,33.0,.484,.361,9.6,2.1,0.7,1.0,1.2,12.1,15.8,C
492,Dennis Rodman,Detroit Pistons,1990,29.0,.581,.111,9.7,0.9,0.6,0.7,1.1,8.8,15.4,SF
493,James Edwards,Detroit Pistons,1990,27.8,.498,.000,4.2,0.8,0.3,0.5,1.6,14.5,13.3,C
494,Mark Aguirre,Detroit Pistons,1990,25.7,.488,.333,3.9,1.9,0.4,0.2,1.6,14.1,15.8,SF
495,Vinnie Johnson,Detroit Pistons,1990,24.0,.431,.147,3.1,3.1,0.9,0.2,1.5,9.8,12.9,SG
496,John Salley,Detroit Pistons,1990,23.3,.512,.250,5.4,0.8,0.6,1.9,1.2,7.2,13.5,PF
497,Gerald Henderson,Detroit Pistons,1990,7.3,.506,.452,0.7,1.3,0.2,0.0,0.3,2.3,13.6,PG
498,William Bedford,Detroit Pistons,1990,5.9,.432,.167,1.4,0.1,0.1,0.4,0.5,2.8,9.5,C
499,Dave Greenwood,Detroit Pistons,1990,5.5,.423,,2.1,0.3,0.1,0.2,0.4,1.6,10.9,PF
500,Stan Kimbrough,Detroit Pistons,1990,5.0,.438,,0.7,0.5,0.4,0.0,0.4,1.6,12.1,PG
501,Scott Hastings,Detroit Pistons,1990,4.2,.303,.250,0.8,0.2,0.1,0.1,0.2,1.1,7.0,PF
502,Ralph Lewis,Detroit Pistons,1990,1.5,.000,,0.0,0.0,0.0,0.0,0.3,0.0,-17.0,SG
503,Isiah Thomas,Detroit Pistons,1989,36.6,.464,.273,3.4,8.3,1.7,0.3,3.7,18.2,17.1,PG
504,Joe Dumars,Detroit Pistons,1989,34.9,.505,.483,2.5,5.7,0.9,0.1,2.6,17.2,16.8,SG
505,Bill Laimbeer,Detroit Pistons,1989,32.6,.499,.349,9.6,2.2,0.6,1.2,1.6,13.7,16.6,C
506,Adrian Dantley,Detroit Pistons,1989,31.9,.521,,3.9,2.2,0.5,0.1,1.9,18.4,18.2,SF
507,Mark Aguirre,Detroit Pistons,1989,29.7,.483,.293,4.2,2.5,0.4,0.2,1.9,15.5,15.1,SF
508,Dennis Rodman,Detroit Pistons,1989,26.9,.595,.231,9.4,1.2,0.7,0.9,1.5,9.0,16.3,SF
509,Vinnie Johnson,Detroit Pistons,1989,25.3,.464,.295,3.1,3.0,0.9,0.2,1.3,13.8,17.3,SG
510,Rick Mahorn,Detroit Pistons,1989,24.9,.517,.000,6.9,0.8,0.6,0.9,1.3,7.3,12.1,PF
511,John Salley,Detroit Pistons,1989,21.8,.498,.000,5.0,1.1,0.6,1.1,1.5,7.0,12.4,PF
512,James Edwards,Detroit Pistons,1989,16.5,.500,.000,3.0,0.6,0.1,0.4,0.9,7.3,11.6,C
513,Micheal Williams,Detroit Pistons,1989,7.3,.364,.222,0.6,1.4,0.3,0.1,0.9,2.6,7.7,PG
514,John Long,Detroit Pistons,1989,6.3,.475,,0.5,0.6,0.0,0.1,0.4,2.0,8.2,SG
515,Darryl Dawkins,Detroit Pistons,1989,3.4,.474,,0.5,0.1,0.0,0.1,0.3,1.9,8.2,C
516,Pace Mannion,Detroit Pistons,1989,2.8,1.000,,0.6,0.0,0.2,0.0,0.0,0.8,14.4,SF
517,Fennis Dembo,Detroit Pistons,1989,2.4,.333,.000,0.7,0.2,0.0,0.0,0.2,1.2,7.8,SF
518,Steve Harris,Detroit Pistons,1989,2.3,.250,,0.7,0.0,0.3,0.0,0.0,1.3,18.3,SG
519,Jim Rowinski,Detroit Pistons,1989,1.3,.000,,0.3,0.0,0.0,0.0,0.0,0.7,17.1,PF
520,Byron Scott,Los Angeles Lakers,1988,37.6,.527,.346,4.1,4.1,1.9,0.3,2.0,21.7,19.2,SG
521,Magic Johnson,Los Angeles Lakers,1988,36.6,.492,.196,6.2,11.9,1.6,0.2,3.7,19.6,23.1,PG
522,James Worthy,Los Angeles Lakers,1988,35.4,.531,.125,5.0,3.9,1.0,0.7,2.1,19.7,18.2,SF
523,A.C. Green,Los Angeles Lakers,1988,32.1,.503,.000,8.7,1.1,1.1,0.5,1.5,11.4,14.5,PF
524,Michael Cooper,Los Angeles Lakers,1988,29.4,.392,.320,3.7,4.7,1.1,0.4,1.7,8.7,11.6,SG
525,Kareem Abdul-Jabbar,Los Angeles Lakers,1988,28.9,.532,.000,6.0,1.7,0.6,1.2,2.0,14.6,15.8,C
526,Mychal Thompson,Los Angeles Lakers,1988,25.1,.512,.000,6.1,0.8,0.5,1.0,1.4,11.6,14.6,C
527,Tony Campbell,Los Angeles Lakers,1988,18.6,.564,.333,2.1,1.2,0.8,0.2,2.0,11.0,14.2,SF
528,Wes Matthews,Los Angeles Lakers,1988,13.8,.460,.233,1.3,2.7,0.5,0.1,1.4,5.7,12.4,PG
529,Kurt Rambis,Los Angeles Lakers,1988,12.1,.548,,3.8,0.8,0.6,0.2,0.8,4.0,15.0,PF
530,Milt Wagner,Los Angeles Lakers,1988,9.5,.422,.200,0.7,1.5,0.2,0.1,0.6,3.8,10.4,SG
531,Mike Smrek,Los Angeles Lakers,1988,8.8,.427,,1.8,0.2,0.1,0.9,0.6,2.8,7.7,C
532,Ray Tolbert,Los Angeles Lakers,1988,5.9,.571,,1.4,0.4,0.2,0.2,0.8,3.0,15.1,PF
533,Billy Thompson,Los Angeles Lakers,1988,4.2,.231,,1.0,0.1,0.1,0.0,0.7,1.6,-0.8,SF
534,Jeff Lamp,Los Angeles Lakers,1988,2.3,,,0.0,0.0,0.0,0.0,0.0,0.7,9.2,SF
535,Magic Johnson,Los Angeles Lakers,1987,36.3,.522,.205,6.3,12.2,1.7,0.5,3.8,23.9,27.0,PG
536,James Worthy,Los Angeles Lakers,1987,34.4,.539,.000,5.7,2.8,1.3,1.0,2.0,19.4,18.4,SF
537,Byron Scott,Los Angeles Lakers,1987,33.3,.489,.436,3.5,3.4,1.5,0.2,1.8,17.0,16.0,SG
538,Kareem Abdul-Jabbar,Los Angeles Lakers,1987,31.3,.564,.333,6.7,2.6,0.6,1.2,2.4,17.5,17.9,C
539,A.C. Green,Los Angeles Lakers,1987,28.4,.538,.000,7.8,1.1,0.9,1.0,1.3,10.8,15.7,PF
540,Michael Cooper,Los Angeles Lakers,1987,27.5,.438,.385,3.1,4.5,1.0,0.5,1.2,10.5,14.0,SG
541,Mychal Thompson,Los Angeles Lakers,1987,20.6,.480,.000,4.1,0.8,0.4,0.9,1.7,10.1,12.6,PF
542,Kurt Rambis,Los Angeles Lakers,1987,19.4,.521,,5.8,0.8,0.9,0.5,1.3,5.7,12.6,PF
543,Billy Thompson,Los Angeles Lakers,1987,12.9,.544,.000,2.9,1.0,0.3,0.5,1.0,5.6,12.8,SF
544,Frank Brickowski,Los Angeles Lakers,1987,10.9,.564,,2.6,0.3,0.4,0.1,0.7,3.9,10.2,PF
545,Wes Matthews,Los Angeles Lakers,1987,10.6,.476,.333,0.9,2.0,0.5,0.1,1.0,4.2,11.7,PG
546,Adrian Branch,Los Angeles Lakers,1987,6.8,.500,.000,1.7,0.5,0.5,0.1,0.8,4.3,18.8,SF
547,Mike Smrek,Los Angeles Lakers,1987,6.7,.500,,1.1,0.1,0.1,0.4,0.5,2.2,5.0,C
548,Larry Bird,Boston Celtics,1986,38.0,.496,.423,9.8,6.8,2.0,0.6,3.2,25.8,25.6,SF
549,Kevin McHale,Boston Celtics,1986,35.3,.574,,8.1,2.7,0.4,2.0,2.2,21.3,21.6,PF
550,Dennis Johnson,Boston Celtics,1986,35.0,.455,.143,3.4,5.8,1.4,0.4,2.2,15.6,14.7,PG
551,Robert Parish,Boston Celtics,1986,31.7,.549,,9.5,1.8,0.8,1.4,2.3,16.1,18.8,C
552,Danny Ainge,Boston Celtics,1986,30.1,.504,.356,2.9,5.1,1.2,0.1,1.6,10.7,13.6,SG
553,Jerry Sichting,Boston Celtics,1986,19.5,.570,.375,1.3,2.3,0.6,0.0,0.9,6.5,11.9,PG
554,Bill Walton,Boston Celtics,1986,19.3,.562,,6.8,2.1,0.5,1.3,1.9,7.6,17.0,C
555,Scott Wedman,Boston Celtics,1986,17.7,.473,.354,2.4,1.1,0.5,0.3,0.7,8.0,12.5,SF
556,Rick Carlisle,Boston Celtics,1986,9.9,.487,.000,1.0,1.4,0.2,0.1,0.6,2.6,7.9,SG
557,Sly Williams,Boston Celtics,1986,9.0,.238,.000,2.5,0.3,0.2,0.2,1.2,2.8,-0.6,SF
558,David Thirdkill,Boston Celtics,1986,7.9,.491,.000,1.4,0.3,0.2,0.1,0.4,3.3,12.1,PF
559,Sam Vincent,Boston Celtics,1986,7.6,.364,.250,0.8,1.2,0.3,0.1,0.9,3.2,10.0,SG
560,Greg Kite,Boston Celtics,1986,7.3,.374,.000,2.0,0.3,0.0,0.4,0.5,1.3,4.6,C
561,Magic Johnson,Los Angeles Lakers,1985,36.1,.561,.189,6.2,12.6,1.5,0.3,4.0,18.3,23.2,PG
562,James Worthy,Los Angeles Lakers,1985,33.7,.572,.000,6.4,2.5,1.1,0.8,2.5,17.6,17.0,SF
563,Kareem Abdul-Jabbar,Los Angeles Lakers,1985,33.3,.599,.000,7.9,3.2,0.8,2.1,2.5,22.0,22.9,C
564,Byron Scott,Los Angeles Lakers,1985,28.5,.539,.433,2.6,3.0,1.2,0.2,1.7,16.0,16.8,SG
565,Michael Cooper,Los Angeles Lakers,1985,26.7,.465,.285,3.1,5.2,1.1,0.6,1.9,8.6,12.9,SG
566,Kurt Rambis,Los Angeles Lakers,1985,19.7,.554,,6.4,0.8,1.0,0.6,1.2,5.2,12.7,PF
567,Bob McAdoo,Los Angeles Lakers,1985,19.0,.520,.000,4.5,1.0,0.3,0.8,1.4,10.5,15.4,C
568,Jamaal Wilkes,Los Angeles Lakers,1985,18.1,.488,.000,2.2,1.0,0.5,0.1,1.2,8.3,11.0,SF
569,Larry Spriggs,Los Angeles Lakers,1985,17.2,.548,.000,3.0,1.8,0.6,0.2,1.5,6.7,11.9,PF
570,Mike McGee,Los Angeles Lakers,1985,15.4,.538,.361,2.2,0.9,0.5,0.1,1.1,10.2,17.3,SF
571,Mitch Kupchak,Los Angeles Lakers,1985,12.3,.504,,3.2,0.4,0.3,0.3,0.8,5.3,12.5,PF
572,Ronnie Lester,Los Angeles Lakers,1985,8.7,.415,.000,0.8,2.5,0.5,0.1,1.0,2.8,11.9,PG
573,Chuck Nevitt,Los Angeles Lakers,1985,5.4,.294,,1.8,0.3,0.0,1.4,0.9,1.1,2.1,C
574,Earl Jones,Los Angeles Lakers,1985,3.5,.000,,0.0,0.0,0.0,0.0,0.5,0.0,-11.0,C
575,Larry Bird,Boston Celtics,1984,38.3,.492,.247,10.1,6.6,1.8,0.9,3.0,24.2,24.2,PF
576,Robert Parish,Boston Celtics,1984,35.8,.546,,10.7,1.7,0.7,1.5,2.3,19.0,19.2,C
577,Dennis Johnson,Boston Celtics,1984,33.3,.437,.125,3.5,4.2,1.2,0.7,2.2,13.2,12.8,SG
578,Kevin McHale,Boston Celtics,1984,31.4,.556,.333,7.4,1.3,0.3,1.5,1.8,18.4,20.0,PF
579,Cedric Maxwell,Boston Celtics,1984,31.3,.532,.167,5.8,2.6,0.8,0.3,2.5,11.9,13.5,SF
580,Gerald Henderson,Boston Celtics,1984,26.8,.524,.351,1.9,3.8,1.5,0.2,2.1,11.6,14.7,PG
581,Danny Ainge,Boston Celtics,1984,16.3,.460,.273,1.6,2.3,0.6,0.1,1.0,5.4,10.4,SG
582,Quinn Buckner,Boston Celtics,1984,15.8,.427,.000,1.7,2.7,1.1,0.0,1.3,4.1,9.4,PG
583,Scott Wedman,Boston Celtics,1984,13.5,.444,.154,2.0,1.0,0.4,0.1,0.6,4.8,9.9,SF
584,M.L. Carr,Boston Celtics,1984,9.8,.409,.200,1.3,0.8,0.3,0.1,0.8,3.1,7.8,SF
585,Greg Kite,Boston Celtics,1984,5.6,.455,,1.8,0.2,0.0,0.1,0.6,1.9,6.8,C
586,Carlos Clark,Boston Celtics,1984,4.1,.365,.000,0.5,0.5,0.3,0.0,0.4,1.7,12.1,SG
587,Moses Malone,Philadelphia 76ers,1983,37.5,.501,.000,15.3,1.3,1.1,2.0,3.4,24.5,25.1,C
588,Julius Erving,Philadelphia 76ers,1983,33.6,.517,.286,6.8,3.7,1.6,1.8,2.7,21.4,23.1,SF
589,Maurice Cheeks,Philadelphia 76ers,1983,31.2,.542,.167,2.6,6.9,2.3,0.4,2.3,12.5,18.6,PG
590,Andrew Toney,Philadelphia 76ers,1983,30.5,.501,.289,2.8,4.5,1.0,0.2,3.3,19.7,17.9,SG
591,Bobby Jones,Philadelphia 76ers,1983,23.6,.543,.000,4.6,1.9,1.1,1.2,1.5,9.0,16.4,PF
592,Clint Richardson,Philadelphia 76ers,1983,22.8,.463,.000,3.2,2.2,0.9,0.2,1.3,7.6,11.4,SG
593,Clemon Johnson,Philadelphia 76ers,1983,21.8,.500,,6.4,0.8,0.5,0.9,1.1,6.8,12.8,C
594,Marc Iavaroni,Philadelphia 76ers,1983,20.2,.462,.000,4.1,1.0,0.4,0.6,1.7,5.1,7.3,PF
595,Reggie Johnson,Philadelphia 76ers,1983,18.9,.448,,3.1,0.8,0.3,0.6,1.2,5.5,7.4,SF
596,Franklin Edwards,Philadelphia 76ers,1983,15.6,.472,.000,1.0,2.7,1.0,0.1,1.4,6.7,14.2,PG
597,Russ Schoene,Philadelphia 76ers,1983,15.3,.512,.000,3.3,0.7,0.3,0.2,1.0,5.1,9.8,PF
598,Earl Cureton,Philadelphia 76ers,1983,13.5,.419,,3.7,0.6,0.5,0.3,1.0,3.4,8.1,C
599,Mark McNamara,Philadelphia 76ers,1983,5.1,.453,,2.1,0.2,0.1,0.1,1.0,2.2,7.6,C
600,J.J. Anderson,Philadelphia 76ers,1983,3.7,.364,.000,0.9,0.1,0.1,0.0,0.4,1.3,3.9,SF
601,Magic Johnson,Los Angeles Lakers,1982,38.3,.537,.207,9.6,9.5,2.7,0.4,3.7,18.6,22.9,SG
602,Norm Nixon,Los Angeles Lakers,1982,36.9,.493,.250,2.1,8.0,1.6,0.1,2.9,17.6,15.3,PG
603,Jamaal Wilkes,Los Angeles Lakers,1982,35.4,.525,.000,4.8,1.7,1.1,0.3,2.0,21.1,16.5,SF
604,Kareem Abdul-Jabbar,Los Angeles Lakers,1982,35.2,.579,.000,8.7,3.0,0.8,2.7,3.0,23.9,23.4,C
605,Mitch Kupchak,Los Angeles Lakers,1982,31.6,.573,,8.1,1.3,0.5,0.4,1.7,14.3,15.2,PF
606,Michael Cooper,Los Angeles Lakers,1982,28.9,.517,.118,3.5,3.0,1.6,0.8,2.0,11.9,14.3,SG
607,Bob McAdoo,Los Angeles Lakers,1982,18.2,.458,.000,3.9,0.8,0.5,0.9,1.2,9.6,14.4,C
608,Kurt Rambis,Los Angeles Lakers,1982,17.7,.518,.000,5.4,0.9,0.9,1.2,1.2,4.6,12.8,PF
609,Mark Landsberger,Los Angeles Lakers,1982,15.1,.438,.000,5.3,0.4,0.1,0.1,0.7,4.3,10.3,PF
610,Jim Brewer,Los Angeles Lakers,1982,13.6,.463,.167,3.7,0.6,0.5,0.6,0.5,2.4,10.1,PF
611,Eddie Jordan,Los Angeles Lakers,1982,10.5,.428,.111,0.7,2.3,1.1,0.0,1.1,3.8,12.2,PG
612,Clay Johnson,Los Angeles Lakers,1982,9.3,.550,,1.7,1.0,0.4,0.4,1.0,3.6,12.8,SG
613,Mike McGee,Los Angeles Lakers,1982,9.0,.465,.000,1.3,0.4,0.5,0.1,0.9,4.9,11.7,SF
614,Kevin McKenna,Los Angeles Lakers,1982,6.6,.322,.000,0.8,0.4,0.3,0.1,0.6,1.9,2.8,SG
615,Larry Bird,Boston Celtics,1981,39.5,.478,.270,10.9,5.5,2.0,0.8,3.5,21.2,19.9,PF
616,Tiny Archibald,Boston Celtics,1981,35.3,.499,.000,2.2,7.7,0.9,0.2,3.3,13.8,14.3,PG
617,Cedric Maxwell,Boston Celtics,1981,33.7,.588,.000,6.5,2.7,1.0,0.8,2.2,15.2,17.6,SF
618,Chris Ford,Boston Celtics,1981,33.2,.444,.330,2.0,3.6,1.2,0.3,1.5,8.9,8.8,SG
619,Robert Parish,Boston Celtics,1981,28.0,.545,.000,9.5,1.8,1.0,2.6,2.3,18.9,25.2,C
620,Kevin McHale,Boston Celtics,1981,20.1,.533,.000,4.4,0.7,0.3,1.8,1.3,10.0,16.4,PF
621,Gerald Henderson,Boston Celtics,1981,19.6,.451,.063,1.6,2.6,1.0,0.1,2.0,7.8,10.4,PG
622,Rick Robey,Boston Celtics,1981,19.1,.545,.000,4.8,1.5,0.5,0.2,1.7,9.0,14.9,C
623,M.L. Carr,Boston Celtics,1981,16.0,.449,.071,2.0,1.4,0.7,0.4,1.1,6.0,11.6,SF
624,Eric Fernsten,Boston Celtics,1981,6.2,.481,,1.4,0.2,0.1,0.2,0.4,2.1,11.0,C
625,Wayne Kreklow,Boston Celtics,1981,4.0,.234,.250,0.5,0.4,0.1,0.0,0.4,1.2,-1.9,SG
626,Terry Duerod,Boston Celtics,1981,3.6,.411,.600,0.2,0.2,0.2,0.0,0.3,2.5,14.3,SG
627,Norm Nixon,Los Angeles Lakers,1980,39.3,.516,.125,2.8,7.8,1.8,0.2,3.5,17.6,14.9,PG
628,Kareem Abdul-Jabbar,Los Angeles Lakers,1980,38.3,.604,.000,10.8,4.5,1.0,3.4,3.6,24.8,25.3,C
629,Jamaal Wilkes,Los Angeles Lakers,1980,37.9,.535,.176,6.4,3.0,1.6,0.3,1.9,20.0,17.6,SF
630,Magic Johnson,Los Angeles Lakers,1980,36.3,.530,.226,7.7,7.3,2.4,0.5,4.0,18.0,20.6,SG
631,Jim Chones,Los Angeles Lakers,1980,29.2,.489,.000,6.9,1.8,0.7,0.8,2.1,10.6,11.3,C
632,Michael Cooper,Los Angeles Lakers,1980,24.1,.524,.250,2.8,2.7,1.0,0.5,1.7,8.8,12.5,SG
633,Spencer Haywood,Los Angeles Lakers,1980,20.3,.487,.250,4.6,1.2,0.5,0.8,1.8,9.7,13.9,PF
634,Ron Boone,Los Angeles Lakers,1980,17.7,.350,,1.8,1.2,0.8,0.0,2.2,5.7,3.0,SG
635,Mark Landsberger,Los Angeles Lakers,1980,16.3,.482,,7.1,0.6,0.4,0.2,1.1,7.0,17.0,C
636,Kenny Carr,Los Angeles Lakers,1980,11.4,.438,,3.4,0.2,0.4,0.2,1.8,3.2,5.2,PF
637,Don Ford,Los Angeles Lakers,1980,11.2,.508,.000,1.9,0.7,0.2,0.3,0.6,3.0,8.3,SF
638,Marty Byrnes,Los Angeles Lakers,1980,6.1,.500,,0.8,0.4,0.2,0.0,0.7,2.0,6.3,SF
639,Ollie Mack,Los Angeles Lakers,1980,5.7,.420,.000,0.8,0.7,0.1,0.0,0.3,1.9,9.1,SG
640,Brad Holland,Los Angeles Lakers,1980,5.2,.423,.200,0.4,0.6,0.4,0.0,0.3,2.8,14.3,SG
641,Butch Lee,Los Angeles Lakers,1980,2.8,.308,,0.7,0.8,0.1,0.0,0.6,1.3,12.4,PG
