,name,team,year,mpg,fg%,3pfg%,rebounds,assists,steals,blocks,turnovers,points_per_game
210,Paul Pierce,Boston Celtics,2008,35.9,.464,.392,5.1,4.5,1.3,0.5,2.8,19.6
211,Kevin Garnett,Boston Celtics,2008,32.8,.539,.000,9.2,3.4,1.4,1.3,1.9,18.8
212,Rajon Rondo,Boston Celtics,2008,29.9,.492,.263,4.2,5.1,1.7,0.2,1.9,10.6
213,James Posey,Boston Celtics,2008,24.6,.418,.380,4.4,1.5,1.0,0.3,0.9,7.4
214,Kendrick Perkins,Boston Celtics,2008,24.5,.615,.000,6.1,1.1,0.4,1.5,1.6,6.9
215,Eddie House,Boston Celtics,2008,19.0,.409,.393,2.1,1.9,0.8,0.1,1.0,7.5
216,Tony Allen,Boston Celtics,2008,18.3,.434,.316,2.2,1.5,0.8,0.3,1.5,6.6
217,Sam Cassell,Boston Celtics,2008,17.6,.385,.409,1.8,2.1,0.5,0.2,1.1,7.6
218,Leon Powe,Boston Celtics,2008,14.4,.572,.000,4.1,0.3,0.3,0.3,0.8,7.9
219,Glen Davis,Boston Celtics,2008,13.6,.484,,3.0,0.4,0.4,0.3,0.9,4.5
220,P.J. Brown,Boston Celtics,2008,11.6,.341,.000,3.8,0.6,0.3,0.4,0.6,2.2
221,Brian Scalabrine,Boston Celtics,2008,10.7,.309,.326,1.6,0.8,0.2,0.2,0.5,1.8
222,Scot Pollard,Boston Celtics,2008,7.9,.522,,1.7,0.1,0.1,0.3,0.2,1.8
223,Gabe Pruitt,Boston Celtics,2008,6.3,.359,.250,0.5,0.9,0.3,0.0,0.3,2.1
224,Tim Duncan,San Antonio Spurs,2007,34.1,.546,.111,10.6,3.4,0.8,2.4,2.8,20.0
225,Tony Parker,San Antonio Spurs,2007,32.5,.520,.395,3.2,5.5,1.1,0.1,2.5,18.6
226,Bruce Bowen,San Antonio Spurs,2007,30.0,.405,.384,2.7,1.4,0.8,0.3,0.8,6.2
227,Manu Ginóbili,San Antonio Spurs,2007,27.5,.464,.396,4.4,3.5,1.5,0.4,2.1,16.5
228,James White,San Antonio Spurs,2007,22.8,.439,.286,3.3,0.8,0.5,0.2,0.8,8.3
229,Michael Finley,San Antonio Spurs,2007,22.2,.412,.364,2.7,1.3,0.4,0.2,0.6,9.0
230,Brent Barry,San Antonio Spurs,2007,21.7,.475,.446,2.1,1.8,0.7,0.2,0.8,8.5
231,Francisco Elson,San Antonio Spurs,2007,19.0,.511,.000,4.8,0.8,0.4,0.8,1.2,5.0
232,Fabricio Oberto,San Antonio Spurs,2007,17.3,.562,,4.7,0.9,0.3,0.3,0.9,4.4
233,Robert Horry,San Antonio Spurs,2007,16.5,.359,.336,3.4,1.1,0.7,0.6,0.6,3.9
234,Beno Udrih,San Antonio Spurs,2007,13.0,.369,.287,1.1,1.7,0.4,0.0,0.8,4.7
235,Jacque Vaughn,San Antonio Spurs,2007,11.9,.425,.500,1.1,2.0,0.4,0.0,0.6,3.0
236,Matt Bonner,San Antonio Spurs,2007,11.7,.447,.383,2.8,0.4,0.3,0.2,0.4,4.9
237,Melvin Ely,San Antonio Spurs,2007,10.8,.300,,2.3,0.7,0.7,0.3,0.8,3.2
238,Jackie Butler,San Antonio Spurs,2007,9.4,.457,,2.0,0.5,0.2,0.0,0.9,3.7
239,Eric Williams,San Antonio Spurs,2007,5.5,.441,.471,0.9,0.4,0.1,0.0,0.3,2.6
240,Dwyane Wade,Miami Heat,2006,38.6,.495,.171,5.7,6.7,1.9,0.8,3.6,27.2
241,Jason Williams,Miami Heat,2006,31.8,.442,.372,2.4,4.9,0.9,0.1,1.7,12.3
242,Udonis Haslem,Miami Heat,2006,30.8,.508,.000,7.8,1.2,0.6,0.2,1.0,9.3
243,Shaquille O'Neal,Miami Heat,2006,30.6,.600,,9.2,1.9,0.4,1.8,2.8,20.0
244,James Posey,Miami Heat,2006,28.6,.403,.403,4.8,1.3,0.8,0.3,0.9,7.2
245,Gary Payton,Miami Heat,2006,28.5,.420,.287,2.9,3.2,0.9,0.1,1.3,7.7
246,Antoine Walker,Miami Heat,2006,26.8,.435,.358,5.1,2.0,0.6,0.4,1.8,12.2
247,Derek Anderson,Miami Heat,2006,20.2,.308,.313,2.6,2.1,0.3,0.1,0.7,5.8
248,Alonzo Mourning,Miami Heat,2006,20.0,.597,.000,5.5,0.2,0.2,2.7,1.2,7.8
249,Shandon Anderson,Miami Heat,2006,13.3,.429,.263,1.7,0.6,0.4,0.1,0.5,2.6
250,Gerald Fitch,Miami Heat,2006,13.3,.337,.269,1.7,1.8,0.4,0.3,0.8,4.7
251,Jason Kapono,Miami Heat,2006,13.0,.446,.396,1.4,0.7,0.1,0.1,0.4,4.1
252,Michael Doleac,Miami Heat,2006,12.0,.420,,2.7,0.3,0.3,0.2,0.5,3.2
253,Wayne Simien,Miami Heat,2006,9.6,.483,,2.0,0.2,0.3,0.0,0.6,3.4
254,Dorell Wright,Miami Heat,2006,6.6,.465,.500,1.6,0.4,0.2,0.1,0.7,2.9
255,Earl Barron,Miami Heat,2006,5.6,.313,,1.3,0.0,0.0,0.0,0.6,1.6
256,Matt Walsh,Miami Heat,2006,1.5,1.000,,0.0,0.0,0.0,0.0,0.5,1.0
257,Tony Parker,San Antonio Spurs,2005,34.2,.482,.276,3.7,6.1,1.2,0.1,2.7,16.6
258,Tim Duncan,San Antonio Spurs,2005,33.4,.496,.333,11.1,2.7,0.7,2.6,1.9,20.3
259,Bruce Bowen,San Antonio Spurs,2005,32.0,.420,.403,3.5,1.5,0.7,0.5,0.7,8.2
260,Manu Ginóbili,San Antonio Spurs,2005,29.6,.471,.376,4.4,3.9,1.6,0.4,2.3,16.0
261,Rasho Nesterović,San Antonio Spurs,2005,25.5,.460,,6.6,1.0,0.4,1.7,1.0,5.9
262,Brent Barry,San Antonio Spurs,2005,21.5,.423,.357,2.3,2.2,0.5,0.2,0.8,7.4
263,Robert Horry,San Antonio Spurs,2005,18.6,.419,.370,3.6,1.1,0.9,0.8,0.9,6.0
264,Devin Brown,San Antonio Spurs,2005,18.5,.423,.372,2.6,1.4,0.6,0.2,0.8,7.4
265,Nazr Mohammed,San Antonio Spurs,2005,18.0,.387,,6.4,0.3,0.2,1.4,1.2,6.2
266,Glenn Robinson,San Antonio Spurs,2005,17.4,.442,.333,2.7,0.9,0.4,0.3,0.8,10.0
267,Malik Rose,San Antonio Spurs,2005,17.2,.464,.000,4.5,0.8,0.6,0.2,1.1,6.3
268,Beno Udrih,San Antonio Spurs,2005,14.4,.444,.408,1.0,1.9,0.5,0.1,1.0,5.9
269,Tony Massenburg,San Antonio Spurs,2005,11.5,.407,,2.7,0.2,0.3,0.3,0.7,3.2
270,Sean Marks,San Antonio Spurs,2005,10.6,.338,.000,2.4,0.3,0.1,0.5,0.6,3.3
271,Dion Glover,San Antonio Spurs,2005,9.7,.364,.125,1.6,0.6,0.4,0.4,0.3,3.6
272,Linton Johnson,San Antonio Spurs,2005,7.5,.000,.000,1.5,0.0,0.5,0.0,0.5,0.0
273,Mike Wilks,San Antonio Spurs,2005,5.8,.416,.313,0.5,0.7,0.3,0.0,0.3,1.7
274,Ben Wallace,Detroit Pistons,2004,37.7,.421,.125,12.4,1.7,1.8,3.0,1.5,9.5
275,Richard Hamilton,Detroit Pistons,2004,35.5,.455,.265,3.6,4.0,1.3,0.2,2.7,17.6
276,Chauncey Billups,Detroit Pistons,2004,35.4,.394,.388,3.5,5.7,1.1,0.1,2.4,16.9
277,Tayshaun Prince,Detroit Pistons,2004,32.9,.467,.363,4.8,2.3,0.8,0.8,1.5,10.3
278,Rasheed Wallace,Detroit Pistons,2004,30.6,.431,.319,7.0,1.8,1.1,2.0,1.3,13.7
279,Mehmet Okur,Detroit Pistons,2004,22.3,.463,.375,5.9,1.0,0.5,0.9,1.4,9.6
280,Lindsey Hunter,Detroit Pistons,2004,20.0,.343,.280,2.0,2.6,1.2,0.2,1.0,3.5
281,Corliss Williamson,Detroit Pistons,2004,19.9,.505,,3.2,0.7,0.4,0.3,1.4,9.5
282,Mike James,Detroit Pistons,2004,19.7,.401,.364,2.2,3.7,1.0,0.0,1.6,6.3
283,Chucky Atkins,Detroit Pistons,2004,18.8,.374,.323,1.2,2.4,0.5,0.0,1.2,6.2
284,Elden Campbell,Detroit Pistons,2004,13.7,.439,,3.2,0.7,0.3,0.8,1.0,5.6
285,Bob Sura,Detroit Pistons,2004,13.3,.410,.250,1.9,1.7,0.7,0.2,0.7,3.8
286,Željko Rebrača,Detroit Pistons,2004,10.6,.407,,2.3,0.2,0.2,0.4,0.6,3.1
287,Darvin Ham,Detroit Pistons,2004,9.0,.493,.500,1.7,0.3,0.2,0.1,0.6,1.8
288,Hubert Davis,Detroit Pistons,2004,7.7,.000,.000,0.0,0.3,0.0,0.0,0.3,0.0
289,Tremaine Fowlkes,Detroit Pistons,2004,7.3,.313,.125,1.5,0.4,0.3,0.1,0.3,1.2
290,Darko Miličić,Detroit Pistons,2004,4.7,.262,.000,1.3,0.2,0.2,0.4,0.4,1.4
291,Tim Duncan,San Antonio Spurs,2003,39.3,.513,.273,12.9,3.9,0.7,2.9,3.1,23.3
292,Tony Parker,San Antonio Spurs,2003,33.8,.464,.337,2.6,5.3,0.9,0.0,2.4,15.5
293,Bruce Bowen,San Antonio Spurs,2003,31.3,.466,.441,2.9,1.4,0.8,0.5,0.9,7.1
294,Stephen Jackson,San Antonio Spurs,2003,28.2,.435,.320,3.6,2.3,1.6,0.4,2.2,11.8
295,David Robinson,San Antonio Spurs,2003,26.2,.469,,7.9,1.0,0.8,1.7,1.3,8.5
296,Malik Rose,San Antonio Spurs,2003,24.5,.459,.400,6.4,1.6,0.7,0.5,2.2,10.4
297,Manu Ginóbili,San Antonio Spurs,2003,20.7,.438,.345,2.3,2.0,1.4,0.2,1.4,7.6
298,Steve Smith,San Antonio Spurs,2003,19.5,.388,.331,1.9,1.3,0.5,0.2,0.8,6.8
299,Speedy Claxton,San Antonio Spurs,2003,15.7,.462,.000,1.9,2.5,0.7,0.2,1.2,5.8
300,Steve Kerr,San Antonio Spurs,2003,12.7,.430,.395,0.8,0.9,0.4,0.0,0.5,4.0
301,Kevin Willis,San Antonio Spurs,2003,11.8,.479,.000,3.2,0.3,0.3,0.3,0.8,4.2
302,Danny Ferry,San Antonio Spurs,2003,9.4,.355,.350,1.2,0.3,0.1,0.1,0.4,1.9
303,Anthony Goldwire,San Antonio Spurs,2003,5.1,.278,.250,0.3,0.3,0.3,0.0,0.2,1.2
304,Mengke Bateer,San Antonio Spurs,2003,3.8,.235,.333,0.8,0.3,0.0,0.0,0.5,0.8
305,Devin Brown,San Antonio Spurs,2003,3.1,.500,,1.0,0.3,0.0,0.0,0.7,1.7
306,Kobe Bryant,Los Angeles Lakers,2002,38.3,.469,.250,5.5,5.5,1.5,0.4,2.8,25.2
307,Shaquille O'Neal,Los Angeles Lakers,2002,36.1,.579,.000,10.7,3.0,0.6,2.0,2.6,27.2
308,Derek Fisher,Los Angeles Lakers,2002,28.2,.411,.413,2.1,2.6,0.9,0.1,0.9,11.2
309,Rick Fox,Los Angeles Lakers,2002,27.9,.421,.313,4.7,3.5,0.8,0.3,1.6,7.9
310,Robert Horry,Los Angeles Lakers,2002,26.4,.398,.374,5.9,2.9,1.0,1.1,1.1,6.8
311,Samaki Walker,Los Angeles Lakers,2002,24.0,.512,,7.0,0.9,0.4,1.3,0.8,6.7
312,Devean George,Los Angeles Lakers,2002,21.5,.411,.371,3.7,1.4,0.9,0.5,0.8,7.1
313,Lindsey Hunter,Los Angeles Lakers,2002,19.7,.382,.380,1.5,1.6,0.8,0.2,0.7,5.8
314,Mitch Richmond,Los Angeles Lakers,2002,11.1,.405,.290,1.5,0.9,0.3,0.1,0.6,4.1
315,Mark Madsen,Los Angeles Lakers,2002,11.0,.452,.000,2.7,0.7,0.3,0.2,0.4,2.8
316,Brian Shaw,Los Angeles Lakers,2002,10.9,.353,.330,1.9,1.5,0.4,0.1,0.6,2.9
317,Stanislav Medvedenko,Los Angeles Lakers,2002,10.3,.477,.000,2.2,0.6,0.4,0.2,0.6,4.7
318,Jelani McCoy,Los Angeles Lakers,2002,5.0,.571,,1.2,0.3,0.0,0.2,0.4,1.2
319,Joe Crispin,Los Angeles Lakers,2002,4.5,.250,.000,0.2,0.3,0.2,0.0,0.2,1.7
320,Mike Penberthy,Los Angeles Lakers,2002,4.0,.500,,0.7,0.7,0.7,0.0,0.0,1.7
321,Kobe Bryant,Los Angeles Lakers,2001,40.9,.464,.305,5.9,5.0,1.7,0.6,3.2,28.5
322,Shaquille O'Neal,Los Angeles Lakers,2001,39.5,.572,.000,12.7,3.7,0.6,2.8,2.9,28.7
323,Derek Fisher,Los Angeles Lakers,2001,35.5,.412,.397,3.0,4.4,2.0,0.1,1.5,11.5
324,Horace Grant,Los Angeles Lakers,2001,31.0,.462,.000,7.1,1.6,0.7,0.8,0.6,8.5
325,Rick Fox,Los Angeles Lakers,2001,27.9,.444,.393,4.0,3.2,0.9,0.4,1.7,9.6
326,Ron Harper,Los Angeles Lakers,2001,24.2,.469,.264,3.5,2.4,0.8,0.5,1.3,6.5
327,Brian Shaw,Los Angeles Lakers,2001,22.9,.399,.311,3.8,3.2,0.6,0.3,1.2,5.3
328,Robert Horry,Los Angeles Lakers,2001,20.1,.387,.346,3.7,1.6,0.7,0.7,1.0,5.2
329,Isaiah Rider,Los Angeles Lakers,2001,18.0,.426,.370,2.3,1.7,0.4,0.1,1.5,7.6
330,Mike Penberthy,Los Angeles Lakers,2001,16.1,.414,.396,1.2,1.3,0.4,0.0,0.6,5.0
331,Tyronn Lue,Los Angeles Lakers,2001,12.3,.427,.324,0.8,1.2,0.5,0.0,0.7,3.4
332,Devean George,Los Angeles Lakers,2001,10.1,.309,.221,1.9,0.3,0.3,0.3,0.6,3.1
333,Mark Madsen,Los Angeles Lakers,2001,9.2,.487,1.000,2.2,0.3,0.1,0.1,0.4,2.0
334,Greg Foster,Los Angeles Lakers,2001,7.3,.421,.333,1.8,0.5,0.1,0.2,0.4,2.0
335,Stanislav Medvedenko,Los Angeles Lakers,2001,5.6,.480,1.000,1.3,0.3,0.1,0.1,0.4,4.6
336,Shaquille O'Neal,Los Angeles Lakers,2000,40.0,.574,.000,13.6,3.8,0.5,3.0,2.8,29.7
337,Kobe Bryant,Los Angeles Lakers,2000,38.2,.468,.319,6.3,4.9,1.6,0.9,2.8,22.5
338,Glen Rice,Los Angeles Lakers,2000,31.6,.430,.367,4.1,2.2,0.6,0.2,1.4,15.9
339,Ron Harper,Los Angeles Lakers,2000,25.5,.399,.311,4.2,3.4,1.1,0.5,1.7,7.0
340,A.C. Green,Los Angeles Lakers,2000,23.5,.447,.250,5.9,1.0,0.6,0.2,0.6,5.0
341,Derek Fisher,Los Angeles Lakers,2000,23.1,.346,.313,1.8,2.8,1.0,0.0,1.0,6.3
342,Robert Horry,Los Angeles Lakers,2000,22.2,.438,.309,4.8,1.6,1.1,1.1,1.0,5.7
343,Tyronn Lue,Los Angeles Lakers,2000,18.3,.487,.500,1.5,2.1,0.4,0.0,1.1,6.0
344,Rick Fox,Los Angeles Lakers,2000,18.0,.414,.326,2.4,1.7,0.6,0.3,1.1,6.5
345,Brian Shaw,Los Angeles Lakers,2000,16.9,.382,.310,2.9,2.7,0.5,0.2,1.0,4.1
346,John Celestand,Los Angeles Lakers,2000,11.6,.333,.222,0.7,1.3,0.4,0.0,1.0,2.3
347,Devean George,Los Angeles Lakers,2000,7.0,.389,.340,1.5,0.2,0.2,0.1,0.4,3.2
348,John Salley,Los Angeles Lakers,2000,6.7,.362,,1.4,0.6,0.2,0.3,0.4,1.6
349,Travis Knight,Los Angeles Lakers,2000,6.5,.390,,2.0,0.4,0.1,0.4,0.4,1.7
350,Sam Jacobson,Los Angeles Lakers,2000,6.0,.556,,0.3,0.7,0.3,0.0,0.7,3.3
351,Tim Duncan,San Antonio Spurs,1999,39.3,.495,.143,11.4,2.4,0.9,2.5,2.9,21.7
352,Avery Johnson,San Antonio Spurs,1999,33.4,.473,.083,2.4,7.4,1.0,0.2,2.2,9.7
353,David Robinson,San Antonio Spurs,1999,31.7,.509,.000,10.0,2.1,1.4,2.4,2.2,15.8
354,Sean Elliott,San Antonio Spurs,1999,30.2,.410,.328,4.3,2.3,0.5,0.3,1.4,11.2
355,Mario Elie,San Antonio Spurs,1999,27.5,.471,.374,2.9,1.9,1.0,0.3,1.3,9.7
356,Jaren Jackson,San Antonio Spurs,1999,18.3,.380,.361,2.1,1.0,0.9,0.2,0.8,6.4
357,Steve Kerr,San Antonio Spurs,1999,16.7,.391,.313,1.0,1.1,0.5,0.1,0.5,4.4
358,Jerome Kersey,San Antonio Spurs,1999,15.5,.340,.214,2.9,0.9,0.8,0.3,0.7,3.2
359,Antonio Daniels,San Antonio Spurs,1999,13.1,.454,.294,1.1,2.3,0.6,0.1,0.9,4.7
360,Malik Rose,San Antonio Spurs,1999,12.9,.463,.000,3.9,0.6,0.9,0.5,1.2,6.0
361,Will Perdue,San Antonio Spurs,1999,12.0,.633,,3.7,0.5,0.2,0.3,0.6,2.4
362,Gerard King,San Antonio Spurs,1999,3.3,.429,,0.7,0.2,0.1,0.1,0.2,1.2
363,Andrew Gaze,San Antonio Spurs,1999,3.1,.320,.313,0.3,0.3,0.1,0.1,0.2,1.1
364,Brandon Williams,San Antonio Spurs,1999,1.3,,,0.3,0.0,0.0,0.0,0.0,0.7
365,Michael Jordan,Chicago Bulls,1998,38.8,.465,.238,5.8,3.5,1.7,0.5,2.3,28.7
366,Scottie Pippen,Chicago Bulls,1998,37.5,.447,.318,5.2,5.8,1.8,1.0,2.5,19.1
367,Dennis Rodman,Chicago Bulls,1998,35.7,.431,.174,15.0,2.9,0.6,0.2,1.8,4.7
368,Toni Kukoč,Chicago Bulls,1998,30.2,.455,.362,4.4,4.2,1.0,0.5,2.1,13.3
369,Luc Longley,Chicago Bulls,1998,29.4,.455,,5.9,2.8,0.6,1.1,2.2,11.4
370,Ron Harper,Chicago Bulls,1998,27.9,.441,.190,3.5,2.9,1.3,0.6,1.1,9.3
371,Steve Kerr,Chicago Bulls,1998,22.4,.454,.438,1.5,1.9,0.5,0.1,0.5,7.5
372,Randy Brown,Chicago Bulls,1998,16.2,.384,.000,1.3,2.1,1.0,0.2,0.9,4.1
373,Jason Caffey,Chicago Bulls,1998,13.9,.503,.000,3.4,0.7,0.3,0.3,0.9,5.3
374,Scott Burrell,Chicago Bulls,1998,13.7,.424,.354,2.5,0.8,0.8,0.5,0.6,5.2
375,Dickey Simpkins,Chicago Bulls,1998,11.3,.634,.000,1.5,0.8,0.2,0.1,0.6,3.7
376,Rusty LaRue,Chicago Bulls,1998,10.0,.408,.250,0.6,0.4,0.2,0.1,0.4,3.5
377,Bill Wennington,Chicago Bulls,1998,9.7,.436,,1.7,0.4,0.1,0.1,0.3,3.5
378,Joe Kleine,Chicago Bulls,1998,8.6,.368,,1.7,0.7,0.1,0.1,0.6,2.0
379,Jud Buechler,Chicago Bulls,1998,8.2,.483,.385,1.0,0.7,0.3,0.2,0.3,2.7
380,Keith Booth,Chicago Bulls,1998,2.8,.333,.000,0.7,0.2,0.0,0.0,0.5,1.7
381,David Vaughn,Chicago Bulls,1998,2.0,1.000,,0.3,0.0,0.0,0.0,0.0,1.3
382,Michael Jordan,Chicago Bulls,1997,37.9,.486,.374,5.9,4.3,1.7,0.5,2.0,29.6
383,Scottie Pippen,Chicago Bulls,1997,37.7,.474,.368,6.5,5.7,1.9,0.5,2.6,20.2
384,Dennis Rodman,Chicago Bulls,1997,35.4,.448,.263,16.1,3.1,0.6,0.3,2.0,5.7
385,Toni Kukoč,Chicago Bulls,1997,28.2,.471,.331,4.6,4.5,1.1,0.5,1.6,13.2
386,Luc Longley,Chicago Bulls,1997,24.9,.456,.000,5.6,2.4,0.4,1.1,1.9,9.1
387,Ron Harper,Chicago Bulls,1997,22.9,.436,.362,2.5,2.5,1.1,0.5,0.7,6.3
388,Steve Kerr,Chicago Bulls,1997,22.7,.533,.464,1.6,2.1,0.8,0.0,0.5,8.1
389,Jason Caffey,Chicago Bulls,1997,18.7,.532,.000,4.0,1.2,0.3,0.1,1.3,7.3
390,Bison Dele,Chicago Bulls,1997,15.3,.413,,3.7,1.3,0.3,0.6,1.2,7.0
391,Randy Brown,Chicago Bulls,1997,14.7,.420,.182,1.5,1.8,1.1,0.2,0.8,4.7
392,Bill Wennington,Chicago Bulls,1997,12.8,.498,.000,2.1,0.7,0.2,0.2,0.5,4.6
393,Robert Parish,Chicago Bulls,1997,9.4,.490,,2.1,0.5,0.1,0.4,0.7,3.7
394,Jud Buechler,Chicago Bulls,1997,9.3,.367,.333,1.7,0.8,0.3,0.3,0.4,1.8
395,Dickey Simpkins,Chicago Bulls,1997,8.2,.333,.250,1.9,0.6,0.1,0.1,0.7,1.9
396,Matt Steigenga,Chicago Bulls,1997,6.0,.250,.000,1.5,1.0,0.5,0.5,1.0,1.5
397,Michael Jordan,Chicago Bulls,1996,37.7,.495,.427,6.6,4.3,2.2,0.5,2.4,30.4
398,Scottie Pippen,Chicago Bulls,1996,36.7,.463,.374,6.4,5.9,1.7,0.7,2.7,19.4
399,Dennis Rodman,Chicago Bulls,1996,32.6,.480,.111,14.9,2.5,0.6,0.4,2.2,5.5
400,Luc Longley,Chicago Bulls,1996,26.5,.482,,5.1,1.9,0.4,1.4,1.8,9.1
401,Toni Kukoč,Chicago Bulls,1996,26.0,.490,.403,4.0,3.5,0.8,0.3,1.4,13.1
402,Ron Harper,Chicago Bulls,1996,23.6,.467,.269,2.7,2.6,1.3,0.4,0.9,7.4
403,Steve Kerr,Chicago Bulls,1996,23.4,.506,.515,1.3,2.3,0.8,0.0,0.5,8.4
404,Bill Wennington,Chicago Bulls,1996,15.0,.493,1.000,2.5,0.6,0.3,0.2,0.5,5.3
405,Dickey Simpkins,Chicago Bulls,1996,11.4,.481,1.000,2.6,0.6,0.2,0.1,0.9,3.6
406,John Salley,Chicago Bulls,1996,11.2,.343,,2.5,0.9,0.5,0.9,0.9,2.1
407,Jud Buechler,Chicago Bulls,1996,10.0,.463,.444,1.5,0.8,0.5,0.1,0.5,3.8
408,Randy Brown,Chicago Bulls,1996,9.9,.406,.091,1.0,1.1,0.8,0.2,0.5,2.7
409,James Edwards,Chicago Bulls,1996,9.8,.373,,1.4,0.4,0.0,0.3,0.8,3.5
410,Jason Caffey,Chicago Bulls,1996,9.6,.438,.000,1.9,0.4,0.2,0.1,0.8,3.2
411,Jack Haley,Chicago Bulls,1996,7.0,.333,,2.0,0.0,0.0,0.0,1.0,5.0
412,Hakeem Olajuwon,Houston Rockets,1995,39.6,.517,.188,10.8,3.5,1.8,3.4,3.3,27.8
413,Clyde Drexler,Houston Rockets,1995,37.1,.506,.357,7.0,4.4,1.8,0.7,2.5,21.4
414,Otis Thorpe,Houston Rockets,1995,33.0,.563,.000,8.9,1.6,0.6,0.4,2.1,13.3
415,Robert Horry,Houston Rockets,1995,32.4,.447,.379,5.1,3.4,1.5,1.2,1.9,10.2
416,Vernon Maxwell,Houston Rockets,1995,31.8,.394,.324,2.6,4.3,1.2,0.2,2.1,13.3
417,Kenny Smith,Houston Rockets,1995,25.1,.484,.429,1.9,4.0,0.9,0.1,1.5,10.4
418,Mario Elie,Houston Rockets,1995,23.4,.499,.398,2.4,2.3,0.8,0.1,1.3,8.8
419,Sam Cassell,Houston Rockets,1995,23.0,.427,.330,2.6,4.9,1.1,0.2,2.0,9.5
420,Carl Herrera,Houston Rockets,1995,21.8,.523,.000,4.6,0.7,0.7,0.6,1.2,6.8
421,Chucky Brown,Houston Rockets,1995,19.9,.603,.333,4.6,0.7,0.3,0.3,0.7,6.1
422,Pete Chilcutt,Houston Rockets,1995,19.8,.445,.407,4.7,1.0,0.4,0.6,0.9,5.3
423,Charles Jones,Houston Rockets,1995,12.0,.333,,2.3,0.0,0.0,0.3,0.0,1.0
424,Tim Breaux,Houston Rockets,1995,8.1,.372,.240,0.8,0.4,0.3,0.1,0.4,3.0
425,Tracy Murray,Houston Rockets,1995,8.1,.400,.422,0.9,0.2,0.3,0.1,0.6,3.5
